Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,Calculated_AQI,Data_Quality_Tier
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-08-01,76.0,76.0,31.287692063492067,13.0,2.0,76.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-09-01,97.0,97.0,37.59796376547429,18.44972893772894,3.1988730158730156,97.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-10-01,134.0,134.0,46.18052664703717,20.03303846153846,4.0,123.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-11-01,185.0,185.0,27.0,29.831666666666663,7.0,157.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-12-01,171.0,171.0,57.7355,33.16166666666666,4.0,148.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-01-01,180.0,180.0,96.0,36.0,5.0,218.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-02-01,134.0,105.0,94.0,27.0,3.0,211.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-03-01,102.0,102.0,51.0,32.0,3.0,102.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-04-01,115.0,115.0,55.0,31.0,3.0,110.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-05-01,118.0,118.0,63.0,31.48333333333333,3.1560540015540015,112.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-06-01,110.0,110.0,56.0,23.179858585858586,2.947093073593074,107.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-07-01,84.0,84.0,29.0,24.0,2.0,84.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-08-01,64.0,64.0,29.0,21.0,2.0,64.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-09-01,74.0,74.0,22.0,16.0,2.0,74.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-10-01,110.0,110.0,51.0,25.0,4.0,107.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-11-01,127.0,127.0,59.0,35.0,3.0,118.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2025-12-01,133.0,133.0,80.0,39.0,3.0,166.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2026-01-01,162.0,162.0,101.0,45.0,3.0,235.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2026-02-01,140.0,140.0,74.0,41.0,4.0,145.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2026-03-01,144.0,144.0,71.0,40.0,4.0,135.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-01-01,169.0,159.0,112.0,14.566666666666668,3.5866666666666673,273.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-02-01,158.0,158.0,79.0,14.893333333333334,3.653333333333334,162.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-03-01,161.0,161.0,55.0,14.893333333333334,3.653333333333334,141.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-04-01,164.0,164.0,53.0,14.893333333333334,3.653333333333334,143.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-05-01,142.0,142.0,66.0,14.893333333333334,3.653333333333334,128.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-06-01,134.0,134.0,72.0,13.636666666666672,3.586666666666668,139.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-07-01,107.0,107.0,62.0,17.826666666666668,4.52,105.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-08-01,78.0,78.0,33.0,17.90666666666667,4.186666666666667,78.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-09-01,91.0,91.0,56.0,16.970000000000002,4.120000000000001,93.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-10-01,94.0,94.0,53.0,17.500000000000004,4.320000000000001,94.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-11-01,93.67775884899413,94.0,39.0,17.173333333333336,4.253333333333334,94.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2022-12-01,93.19909218232743,93.6785646420143,37.01937939605973,17.743333333333336,4.486666666666667,94.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-01-01,91.0,91.0,36.0,19.979999999999997,4.6866666666666665,91.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-02-01,92.0,92.0,35.0,19.086666666666666,4.553333333333333,92.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-03-01,96.0,96.0,32.0,19.9,4.6866666666666665,96.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-04-01,93.0,93.0,35.0,20.30666666666666,4.753333333333333,93.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-05-01,83.0,83.0,33.0,20.30666666666666,4.753333333333333,83.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-06-01,87.0,87.0,31.0,17.663333333333338,4.486666666666667,87.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-07-01,93.0,93.0,28.0,16.28,4.253333333333334,93.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-08-01,97.0,97.0,29.0,16.686666666666667,4.32,97.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-09-01,96.0,96.0,35.0,15.466666666666665,4.0200000000000005,96.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-10-01,100.0,100.0,38.0,14.043333333333335,3.8533333333333344,100.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-11-01,103.0,103.0,29.0,16.766666666666666,4.32,102.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2023-12-01,94.63233027756554,95.0,35.0,15.506666666666666,4.0200000000000005,95.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2024-01-01,99.0,99.0,41.0,14.646666666666668,3.5866666666666673,99.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2024-02-01,117.0,117.0,51.0,14.893333333333334,3.653333333333334,112.0,Tier_1_Gold
Jammu,Samba,Samba PCC Office Phase -1 1066,2024-03-01,125.0,125.0,55.0,14.893333333333334,3.820000000000001,117.0,Tier_1_Gold
